id	list	window	wpm	reg_count	index	accuracy	sentence_id	sentence
100m18	4	12	231	3	1	-1	71	А промывать манную крупу перед тем, как варить её, не пробов�
100m18	4	14	NA	3	2	-1	55	Не обнаружив ничего в досье, сыщики решили рыть в другом нап
100m18	4	12	170	6	3	-1	80	Ненужный коврик из твёрдой пластмассы пригодится как подст
100m18	4	16	272	NA	4	-1	41	В вопросе послышался упрёк командиру, словно он был виновни
100m18	4	16	298	3	5	-1	44	Существуют такие микробы, которые могут жить при температу�
100m18	4	0	183	NA	6	-1	20	Выходя замуж, ты надеялась обрести спокойствие, уютный дом,
100m18	4	12	294	2	7	-1	83	Во избежание ожогов надо нанести на лицо небольшое количес�
100m18	4	12	193	2	8	-1	76	Здесь потребуется врач, который будет лечить заболевших в э
100m18	4	14	316	3	9	-1	57	Дрозды и скворцы начали вить семейные гнёзда неподалеку др�
100m18	4	12	290	2	10	-1	74	Вспоминая журчание водяных струй, мы непременно подумаем о
100m18	4	12	304	1	11	1	70	У мамы есть подруга, которая живёт прямо напротив здания те�
100m18	4	0	213	5	12	1	19	Ей хотелось выплеснуть чай на бежевый Юлин пиджак, но она сд
100m18	4	0	353	2	13	-1	13	Ему удалось вскрыть банку об острый край бампера своего авт
100m18	4	16	275	5	14	-1	29	Володя каким-то образом узнал то, чего ему не надо было знат�
100m18	4	16	270	5	15	1	42	Её сын Гриша умер бездетным, и младший сын остался единстве�
100m18	4	16	203	4	16	1	40	Прибывшие в Австралию миссионеры расспрашивали жителей пр�
100m18	4	0	277	3	17	-1	18	Создать настоящие шедевры вам помогут зоркий глаз, терпени�
100m18	4	12	221	3	18	1	75	Она успевала убраться, разморозить фарш и приготовить ужин
100m18	4	16	NA	2	19	-1	36	За два года накопилась уйма вопросов, на которые надо было о
100m18	4	16	213	5	20	1	30	У моего отца был счёт в швейцарском банке, он был лесоторгов
100m18	4	14	335	3	21	-1	48	Взяв с собой фотоаппарат, вся семья поехала в парк на пикник.
100m18	4	16	232	3	22	-1	28	На массаже тело расслабляется и исчезает напряжение в мышц�
100m18	4	14	186	6	23	-1	65	После завершения техосмотра эксперты называют цену, по кот�
100m18	4	14	NA	2	24	-1	54	У Пашки обгорели ресницы и щёки, ходит, намазанный кремом от
100m18	4	16	167	5	25	-1	31	В числе возможных кандидатов называют депутата от партии п�
100m18	4	12	214	6	26	-1	72	Существует легенда, что Ноев ковчег вынесло на вершину этой
100m18	4	12	187	5	27	-1	79	Возможности этих перемен будут обсуждаться в Париже летом �
100m18	4	12	222	6	28	1	77	Когда родители пригрозили не взять её с собой, Маша очень ра
100m18	4	14	145	NA	29	-1	58	Можно будет бросить дополнительные занятия, и даже школу мо
100m18	4	14	271	2	30	-1	60	Количество денег в обороте выросло благодаря союзу с амери�
100m18	4	16	195	5	31	-1	27	Мы установили камеру на новый штатив и приступили к съёмкам.
100m18	4	12	176	4	32	-1	84	Каждое утро на самый верх крыши МГУ поднимается симпатична�
100m18	4	14	221	6	33	1	52	Душа требовала красоты, и Николай Фомин украсил свой дом ре�
100m18	4	16	NA	2	34	-1	33	Я сделала шаг навстречу: приехала к ней, попросив выслушать
100m18	4	16	210	5	35	1	35	В сюжете этого фильма какие-то осы устраивают себе гнёзда в
100m18	4	0	316	1	36	-1	25	Наши власти позволяют себе излишества, создавая иллюзию бл�
100m18	4	0	219	4	37	-1	21	Причиной аварии был мобильный телефон, который отвлекал во�
100m18	4	16	206	6	38	-1	38	Что может сделать самый сильный вол, если он впряжён в слома
100m18	4	0	330	2	39	-1	23	Я люблю салат из картошки с зеленью, заправленный пахучим п�
100m18	4	16	219	7	40	-1	37	Собаку, виновницу случившегося, приказали сечь, хотя в чём б
100m18	4	14	211	5	41	-1	49	Мне нравится сын коллеги, который недавно заходил в наш отд�
100m18	4	12	NA	1	42	1	69	На привале у озера юный турист вручил товарищам ведро и кув�
100m18	4	14	205	3	43	-1	61	Отвернув цветастое покрывало, она осторожно присела на кра�
100m18	4	0	297	4	44	-1	12	На болотах оставался ещё лёд, но на берегах реки появилась т
100m18	4	12	NA	1	45	-1	66	У директора школы был тонкий нюх на талантливых педагогов.
100m18	4	14	NA	0	46	-1	53	От внимания наблюдателя не должна ускользать даже малейшая
100m18	4	14	177	5	47	-1	64	В речи учёного прозвучало неявное сопоставление с другим, з
100m18	4	14	NA	2	48	1	56	Журналист взял карандаш, подвинул к себе чистый лист и напи�
100m18	4	12	284	4	49	-1	73	Чтобы придать объём тонким волосам, нанесите на них лечебну
100m18	4	0	210	5	50	-1	16	Покуда я нахожусь у власти, я буду предметом ярых нападок со
100m18	4	14	318	4	51	-1	59	Этот роман захватывает читателя с первой страницы и держит
100m18	4	16	300	2	52	-1	32	Там, недалеко от кухонной двери, сидел лис с треугольной мор
100m18	4	12	199	3	53	-1	81	В лесу ветром трепало сухие стебли растений, почерневшие от
100m18	4	12	325	2	54	-1	68	Они не ели целый день, несчастные дети, и были очень голодны.
100m18	4	14	NA	1	55	-1	50	Один футболист, который получил растяжение, не участвовал в
100m18	4	16	210	4	56	-1	26	Он вскрыл пачку сухарей, заварил чай, достал чашки и ложки.
100m18	4	16	186	6	57	-1	39	Приготовь себе диетические овощные блюда, сытные и восхити�
100m18	4	0	NA	1	58	-1	15	Если мы позволим этим людям уйти, наши проекты станут гораз�
100m18	4	0	375	2	59	-1	10	В конверте вместе с деньгами была обнаружена записка с угро
100m18	4	14	219	4	60	-1	62	Не поручайте мужу ухаживать за рыбками в аквариуме, он обяз�
100m18	4	0	199	3	61	-1	24	Убедительно просим вас разборчиво заполнять купон, желател
100m18	4	0	371	1	62	-1	22	Она почти не изменилась, только слегка пополнела и появилис
100m18	4	0	259	3	63	1	14	На вторичном рынке жилья розетки заклеивают обоями во врем�
100m18	4	0	270	3	64	1	8	Приблизительно в центре тайги мопед упал в сугроб и сломалс
100m18	4	14	273	1	65	1	46	У нас в Волгограде многие придерживаются иной точки зрения.
100m18	4	12	211	5	66	-1	78	Этот студент получает только отличные оценки с самого перв�
100m18	4	0	369	3	67	-1	6	Перед ним снова была прежняя Маша, которую он знал и любил.
100m18	4	12	330	2	68	-1	85	Торговля продуктами питания является одной из самых прибыл
100m18	4	12	259	3	69	1	67	В мои обязанности входило утром включить рубильник в подва�
100m18	4	16	134	NA	70	-1	43	Автор принадлежит к числу последних свидетелей страшных со
100m18	4	0	NA	1	71	-1	11	Ваня раскрыл было рот, но понял, что что-то не так, и промолча
100m18	4	12	285	3	72	-1	82	В современном обществе семья и школа оказывают большое вли�
100m18	4	14	285	3	73	1	63	Когда мне хотелось сгущёнки, папа мне её привозил, стоило то
100m18	4	0	327	2	74	1	7	Очень хочется заплести бант в косу и надеть красивое платье.
100m18	4	0	309	4	75	-1	17	Выбирая вязаную шапочку, знайте, что лучше шапка цвета хаки
100m18	4	0	319	4	76	1	9	Елена сидела в кресле, молодая Мурка урчала у неё на коленях.
100m18	4	14	175	6	77	-1	47	Я сказал, что русский солдат омоет сапоги в Индийском океан�
100m18	4	16	217	NA	78	-1	34	В тот момент атмосфера наших посиделок внезапно сильно изм�
100m18	4	16	162	5	79	1	45	На филологическом факультете студенты заметят явный крен в
100m18	4	14	264	4	80	1	51	Олень бродил среди берёз, жевал талый снег и поглядывал за р
101f18	1	16	181	3	1	-1	60	Количество денег в обороте выросло благодаря союзу с амери�
101f18	1	16	154	NA	2	1	56	Журналист взял карандаш, подвинул к себе чистый лист и напи�
101f18	1	14	163	NA	3	-1	33	Я сделала шаг навстречу: приехала к ней, попросив выслушать
101f18	1	12	110	NA	4	1	7	Очень хочется заплести бант в косу и надеть красивое платье.
101f18	1	0	119	5	5	-1	84	Каждое утро на самый верх крыши МГУ поднимается симпатична�
101f18	1	16	120	NA	6	1	63	Когда мне хотелось сгущёнки, папа мне её привозил, стоило то
101f18	1	0	231	4	7	1	70	У мамы есть подруга, которая живёт прямо напротив здания те�
101f18	1	16	126	6	8	-1	58	Можно будет бросить дополнительные занятия, и даже школу мо
101f18	1	0	139	5	9	-1	76	Здесь потребуется врач, который будет лечить заболевших в э
101f18	1	12	215	3	10	-1	22	Она почти не изменилась, только слегка пополнела и появилис
101f18	1	12	164	7	11	-1	16	Покуда я нахожусь у власти, я буду предметом ярых нападок со
101f18	1	14	207	3	12	-1	29	Володя каким-то образом узнал то, чего ему не надо было знат�
101f18	1	16	152	4	13	1	51	Олень бродил среди берёз, жевал талый снег и поглядывал за р
101f18	1	12	214	3	14	-1	10	В конверте вместе с деньгами была обнаружена записка с угро
101f18	1	12	175	NA	15	-1	13	Ему удалось вскрыть банку об острый край бампера своего авт
101f18	1	14	141	5	16	-1	37	Собаку, виновницу случившегося, приказали сечь, хотя в чём б
101f18	1	16	146	6	17	-1	55	Не обнаружив ничего в досье, сыщики решили рыть в другом нап
101f18	1	14	98	7	18	1	40	Прибывшие в Австралию миссионеры расспрашивали жителей пр�
101f18	1	12	97	7	19	-1	17	Выбирая вязаную шапочку, знайте, что лучше шапка цвета хаки
101f18	1	14	247	3	20	-1	26	Он вскрыл пачку сухарей, заварил чай, достал чашки и ложки.
101f18	1	14	178	3	21	1	30	У моего отца был счёт в швейцарском банке, он был лесоторгов
101f18	1	16	129	NA	22	-1	61	Отвернув цветастое покрывало, она осторожно присела на кра�
101f18	1	14	160	3	23	-1	31	В числе возможных кандидатов называют депутата от партии п�
101f18	1	16	175	4	24	-1	54	У Пашки обгорели ресницы и щёки, ходит, намазанный кремом от
101f18	1	0	238	2	25	-1	66	У директора школы был тонкий нюх на талантливых педагогов.
101f18	1	16	190	3	26	-1	57	Дрозды и скворцы начали вить семейные гнёзда неподалеку др�
101f18	1	12	106	NA	27	-1	25	Наши власти позволяют себе излишества, создавая иллюзию бл�
101f18	1	12	180	5	28	1	9	Елена сидела в кресле, молодая Мурка урчала у неё на коленях.
101f18	1	12	195	4	30	-1	20	Выходя замуж, ты надеялась обрести спокойствие, уютный дом,
101f18	1	12	163	5	31	-1	12	На болотах оставался ещё лёд, но на берегах реки появилась т
101f18	1	14	286	1	32	-1	28	На массаже тело расслабляется и исчезает напряжение в мышц�
101f18	1	0	266	2	33	-1	82	В современном обществе семья и школа оказывают большое вли�
101f18	1	16	83	NA	34	-1	64	В речи учёного прозвучало неявное сопоставление с другим, з
101f18	1	16	259	2	35	-1	49	Мне нравится сын коллеги, который недавно заходил в наш отд�
101f18	1	14	95	NA	36	1	42	Её сын Гриша умер бездетным, и младший сын остался единстве�
101f18	1	16	269	3	37	-1	53	От внимания наблюдателя не должна ускользать даже малейшая
101f18	1	16	218	4	38	-1	50	Один футболист, который получил растяжение, не участвовал в
101f18	1	12	261	1	39	1	19	Ей хотелось выплеснуть чай на бежевый Юлин пиджак, но она сд
101f18	1	14	189	6	40	-1	36	За два года накопилась уйма вопросов, на которые надо было о
101f18	1	12	205	NA	41	-1	21	Причиной аварии был мобильный телефон, который отвлекал во�
101f18	1	14	241	1	42	-1	27	Мы установили камеру на новый штатив и приступили к съёмкам.
101f18	1	0	296	1	43	-1	73	Чтобы придать объём тонким волосам, нанесите на них лечебну
101f18	1	0	279	1	44	1	75	Она успевала убраться, разморозить фарш и приготовить ужин
101f18	1	0	303	2	45	-1	85	Торговля продуктами питания является одной из самых прибыл
101f18	1	14	200	3	46	1	35	В сюжете этого фильма какие-то осы устраивают себе гнёзда в
101f18	1	0	225	2	47	-1	81	В лесу ветром трепало сухие стебли растений, почерневшие от
101f18	1	12	186	3	48	-1	24	Убедительно просим вас разборчиво заполнять купон, желател
101f18	1	14	129	7	49	-1	38	Что может сделать самый сильный вол, если он впряжён в слома
101f18	1	12	260	5	50	-1	11	Ваня раскрыл было рот, но понял, что что-то не так, и промолча
101f18	1	16	256	2	52	1	46	У нас в Волгограде многие придерживаются иной точки зрения.
101f18	1	14	174	2	53	-1	34	В тот момент атмосфера наших посиделок внезапно сильно изм�
101f18	1	12	91	NA	54	-1	15	Если мы позволим этим людям уйти, наши проекты станут гораз�
101f18	1	0	270	NA	55	-1	79	Возможности этих перемен будут обсуждаться в Париже летом �
101f18	1	0	313	1	56	-1	78	Этот студент получает только отличные оценки с самого перв�
101f18	1	12	172	5	57	1	8	Приблизительно в центре тайги мопед упал в сугроб и сломалс
101f18	1	0	384	3	58	-1	68	Они не ели целый день, несчастные дети, и были очень голодны.
